No.;Pertanyaan;Jawaban
1;Apakah Objek yang dapat dibebaskan dari pengenaan Pajak Pertambahan Nilai sebagaimana diatur dalam PMK Nomor 60 Tahun 2023?;Objek yang dapat dibebaskan dari pengenaan Pajak Pertambahan Nilai adalah penyerahan rumah umum, pondok boro, asrama mahasiswa dan pelajar, serta rumah pekerja. 
2;Bagaimana mekanisme pembebasan pengenaan Pajak Pertambahan Nilai atas kegiatan dimaksud?;Pembebasan pengenaan Pajak Pertambahan Nilai dilakukan dengan pemberitahuan pemanfaatan fasilitas oleh pihak yang memperoleh barang kena pajak sebagaimana dimaksud pada Pasal 1 ayat (1) PMK Nomor 60 Tahun 2023 melalui saluran elektronik yang disediakan oleh Direktorat Jenderal Pajak. 
3;Apakah definisi Rumah Umum dalam PMK Nomor 60 Tahun 2023;Yaitu rumah yang diselenggarakan untuk memenuhi kebutuhan rumah bagi orang pribadi Warga Negara Indonesia yang termasuk dalam kriteria masyarakat berpenghasilan rendah sebagaimana diatur dalam Undang-Undang mengenai perumahan dan Kawasan permukiman. Berfungsi sebagai bangunan tempat tinggal yang layak huni, tidak termasuk rumah toko dan rumah kantor. Rumah umum wajib memiliki kode identitas rumah yang disediakan melalui aplikasi di kementerian yang menyelenggarakan urusan pemerintahan di bidang perumahan dan kawasan permukiman dan/ atau badan yang mengelola tabungan perumahan rakyat. 
4;Apakah definisi Rumah Pekerja dalam PMK Nomor 60 Tahun 2023;Yaitu bangunan yang dibiayai dan dibangun oleh pemberi kerja dan diperuntukkan bagi karyawannya sendiri Warga Negara Indonesia yang termasuk dalam kriteria masyarakat berpenghasilan rendah sebagaimana diatur dalam Undang-Undang mengenai perumahan dan Kawasan permukiman. Dapat juga dibangun oleh pemberi kerja dengan menggunakan jasa perusahaan konstruksi. Berfungsi sebagai bangunan tempat tinggal yang layak huni, tidak termasuk rumah toko dan rumah kantor. 
5;Bagaimana ketentuan mengenai harga jual?;Harga jual merupakan nilai berupa uang, termasuk semua biaya yang diminta atau seharusnya diminta oleh pengusaha kena pajak yang melakukan penyerahan karena penterahan rumah umum atau rumah pekerja, tidak termasuk Pajak Pertambahan Nilai. Tidak termasuk biaya-biaya yang diminta pihak ketiga selain pengusaha kena pajak yang melakukan penyerahan rumah umum atau rumah pekerja diantaranya biaya transaksi jual beli dan biaya transaksi pembayaran. Dalam hal rumah pekerja merupakan pemberian cuma-cuma oleh pemberi kerja kepada karyawan, batasan dasar pengenaan pajak tidak melebihi batasan harga jual yang tercantum dalam Lampiran PMK Nomor 60 Tahun 2023. 
6;Apakah dasar pengenaan pajak atas rumah pekerja yang merupakan pemberian cuma-cuma oleh pemberi kerja kepada karyawan?;Dasar pengenaan pajak atas rumah pekerja yang merupakan pemberian cuma-cuma oleh pemberi kerja kepada karyawan mengikuti ketentuan peraturan perundang- undangan di bidang perpajakan yang mengatur mengenai nilai lain. 
7;Bagaimana ketentuan Rumah Umum dan Rumah Pekerja?;"a. Luas bangunan minimal 21 m2 (dua puluh satu meter persegi) sampai dengan 36 m2 (tiga puluh enam meter persegi. b. Luas tanah minimal 60 m2 (enam puluh meter persegi) sampai dengan 200 m2 (dua ratus meter persegi). c. Harga jual tidak melebihi batasan harga jual, sebagaimana tercantum dalam Lampiran PMK Nomor 60 Tahun 2023. d. merupakan rumah pertama yang dimiliki oleh orang pribadi yang termasuk dalam kriteria masyarakat berpenghasilan rendah, digunakan sendiri sebagai tempat tinggal, dan tidak dipindahtangankan dalam jangka waktu 4 (empat) tahun sejak dimiliki."
8;Apakah yang dimaksud dengan masyarakat berpenghasilan rendah?;Masyarakat berpenghasilan rendah merupakan masyarakat berpenghasilan rendah dengan besaran penghasilan paling banyak mengacu pada ketentuan yang ditetapkan oleh Menteri yang menyelenggarakan urusan pemerintahan di bidang perumahan dan Kawasan permukiman. 
9;Adakah batasan pengertian Karyawan?;Ada. Tidak termasuk dalam pengertian karyawan adalah pemegang saham, direksi, komisaris, dan pengurus perusahaan sebagaimana dimaksud dalam ketentuan peraturan perundang- undangan di bidang perpajakan. 
10;Apakah ada persyaratan terkait kewajiban perpajakan untuk dapat memperoleh pembebasan pengenaan Pajak Pertambahan Nilai atas penyerahan rumah umum?;Untuk mendapatkan pembebasan pengenaan Pajak Pertambahan Nilai atas penyerahan rumah umum, masyarakat berpenghasilan rendah harus: a. telah menyampaikan surat pemberitahuan tahunan pajak penghasilan 2 (dua) tahun pajak terakhir dan surat pemberitahuan masa Pajak Pertambahan Nilai 3 (tiga) masa pajak terakhir yang menjadi kewajibannya bagi orang pribadi yang memiliki nomor pokok wajib pajak b. tidak memiliki utang pajak 
11;Apa saja metode pembiayaan dalam perolehan rumah umum?;Perolehan rumah umum dan rumah pekerja dapat dilakukan secara tunai maupun kredit atau pembiayaan kepemilikan rumah. 
12;Bagaimana pengaturan batasan harga jual rumah umum dan rumah pekerja mulai tahun 2024 dan tahun- tahun selanjutnya?;Ketentuan tersebut tercantum dalam Lampiran PMK Nomor 60 Tahun 2023. 
13;Bagaimana ketentuan besaran penghasilan bagi masyarakat berpenghasilan rendah?;Besaran penghasilan paling banyak masyarakat berpenghasilan rendah merupakan penghasilan rata- rata dalam 1 (satu) bulan (diatur oleh Menteri Pekerjaan Umum dan Perumahan Rakyat). 
14;Bagaimana penghitungan besarnya penghasilan bagi suami istri yang memilih atau tidak memilih untuk menjalankan kewajiban perpajakannya sendiri?;Bagi suami istri yang memilih atau tidak memilih untuk menjalankan kewajiban perpajakannya sendiri, berlaku penghitungan besarnya penghasilan yang berasal dari penghasilan yang berasal dari penjumlahan penghasilan suami dan istri. 
15;Apakah yang dimaksud dengan Program kepemilikan rumah umum dari pemerintah?;Program kepemilikan rumah umum dari pemerintah sebagaimana dimaksud pada Pasal 4 ayat (1) merupakan pemberian bantuan dan kemudahan pemerintah untuk kepemilikan rumah umum berupa subsidi bunga, subsidi uang muka, atau pembiayaan tabungan perumahan rakyat. 
16;Bagaimana ketentuan pembebasan dari pengenaan Pajak Pertambahan Nilai atas penyerahan rumah umum atau rumah pekerja?;Pembebasan dari pengenaan Pajak Pertambahan Nilai atas penyerahan rumah umum atau rumah pekerja kepada orang pribadi yang telah kawin hanya dapat diberikan untuk 1 (satu) unit dalam 1 (satu) keluarga. 
17;Apakah KPP dapat menagih Pajak Pertambahan Nilai yang semula dibebaskan?;Kepala Kantor Pelayanan Pajak dapat menagih Pajak Pertambahan Nilai yang semula dibebaskan sesuai dengan ketentuan peraturan perundang- undangan di bidang perpajakan, jika diperoleh data dan/ atau informasi yang menunjukkan penyerahan barang kena pajak. 
18;Bagaimana apabila Pengusaha kena pajak yang melakukan penyerahan yang tidak memenuhi ketentuan, tidak memungut Pajak Pertambahan Nilai?;Pengusaha kena pajak yang melakukan penyerahan yang tidak memungut Pajak Pertambahan Nilai atas penyerahan barang kena pajak dimaksud dikenai sanksi sesuai dengan ketentuan perundang- undangan di bidang perpajakan. 
19;Apakah kondisi yang menyebabkan Kepala KPP menagih Pajak Pertambahan Nilai kepada Pengusaha Kena Pajak (PKP)?;"Kepala Kantor Pelayanan Pajak menagih Pajak Pertambahan Nilai kepada Pengusaha Kena Pajak (PKP)yang menyerahkan barang kena pajak dalam hal: 
a. PKP tidak memenuhi ketentuan. 
b. PKP tidak menyampaikan pemberitahuan pemanfaatan fasilitas. 
c. kepemilikan tanda terima penyampaian pemberitahuan pemanfaatan fasilitas tidak memenuhi ketentuan. 
d. PKP yang menyerahkan barang kena pajak tidak membuat faktur pajak."
20;Apakah kondisi yang menyebabkan Kepala KPP menagih Pajak Pertambahan Nilai kepada pihak yang memperoleh Barang Kena Pajak (BKP)?;"Kepala kantor pelayanan pajak menagih Pajak Pertambahan Nilai kepada pihak yang memperoleh Barang Kena Pajak (BKP) dalam hal: 
a. BKP tidak digunakan untuk tujuan semula dalam jangka waktu 4 (empat) tahun. 
b. barang kena pajak dipindahtangankan dalam jangka waktu 4 tahun. 
c. pihak yang memperoleh BKP tidak memenuhi ketentuan. 
d. pemberitahuan pemanfaatan fasilitas tidak memenuhi ketentuan."
21;Bagaimana apabila suami dan/ atau istri telah memanfaatkan pembebasan dari pengenaan Pajak Pertambahan Nilai sebelum perkawinan?;Pembebasan Pajak Pertambahan Nilai yang telah diperoleh tetap dapat dimanfaatkan. 
22;Siapakah pihak yang tidak dapat memanfaatkan fasilitas pembebasan Pajak Pertambahan Nilai atas penyerahan rumah umum atau rumah pekerja?;"Yaitu orang pribadi yang tidak kawin yang: 
a. berusia di bawah 18 (delapan belas) tahun; dan/ atau 
b. masih menjadi tanggungan keluarga"
23;Apakah yang dimaksud Pondok Boro?;Yaitu berupa bangunan bertingkat atau tidak bertingkat, yang diperuntukkan bagi para buruh tetap atau para pekerja sektor informal berpenghasilan rendah dengan biaya sewa yang disepakati, yang tidak dipindahtangankan dalam jangka waktu 4 (empat) tahun sejak diperoleh. 
24;Apakah yang dimaksud dengan Asrama Mahasiswa?;Yaitu bangunan sederhana, berupa bangunan bertingkat atau tidak bertingkat, yang diperuntukkan khusus untuk pemondokan pelajar atau mahasiswa, yang tidak dipindahtangankan dalam jangka waktu 4 (empat) tahun sejak diperoleh. 
25;Apakah yang dimaksud dengan Bangunan sederhana?;Yaitu bangunan klasifikasi sederhana sesuai dengan ketentuan peraturan perundang- undangan yang mengatur mengenai bangunan gedung. 
26;Bagaimana apabila saluran elektronik yang digunakan dalam pemberitahuan pemanfaatan fasilitas ini tidak dapat diakses baik oleh pihak yang memperoleh rumah umum atau karyawan?;Pemberitahuan pemanfaatan fasilitas disampaikan oleh Pengusaha Kena Pajak yang menyerahkan rumah umum atau rumah pekerja secara elektronik melalui saluran tertentu pada laman Direktorat Jenderal Pajak. 
27;Apakah Pengusaha Kena Pajak yang melakukan penyerahan rumah umum, pondok boro, asrama mahasiswa dan pelajar serta rumah pekerja wajib membuat faktur pajak?;Ya. Pengusaha Kena Pajak yang melakukan penyerahan rumah umum, pondok boro, asrama mahasiswa dan pelajar serta rumah pekerja wajib membuat faktur pajak sesuai dengan ketentuan peraturan perundang- undangan di bidang perpajakan. 
28;Bagaimana apabila rumah umum, pondok boro, asrama mahasiswa dan pelajar dan rumah pekerja digunakan tidak sesuai dengan tujuan semula atau dipindahtangankan baik sebagian atau seluruhnya?;"Dalam hal rumah umum, pondok boro, asrama mahasiswa dan pelajar, dan rumah pekerja yang atas penyerahannya dibebaskan dari pengenaan Pajak Pertambahan Nilai dalam jangka waktu 4 tahun terhitung sejak saat perolehan tersebut: 
a. digunakan tidak sesuai dengan tujuan semula; atau 
b. dipindahtangankan kepada pihak lain, baik sebagian atau seluruhnya, 
c. Pajak Pertambahan Nilai yang semula dibebaskan menjadi terutang dan wajib dibayar oleh pihak yang memperoleh Barang Kena Pajak."
29;Bagaimana ketentuan atas penyerahan yang dilakukan oleh Pengusaha Kena Pajak sampai dengan 31 Juli 2023?;Terhadap penyerahan Barang Kena Pajak yang dilakukan Pengusaha Kena Pajak sejak berlakunya PMK Nomor 60 Tahun 2023 sampai dengan tanggal 31 Juli 2023, tanda terima atas penyerahan pemberitahuan pemanfaatan fasilitas harus sudah dimiliki oleh Pengusaha Kena Pajak paling lambat tanggal 30 September 2023. 
30;Bagaimana ketentuan atas penyerahan yang dilakukan sebelum berlakunya PMK Nomor 60 Tahun 2023?;Berlaku ketentuan PMK Nomor 81/PMK.010/2019 tentang Batasan Rumah Umum, Pondok Boro, Asrama Mahasiswa dan Pelajar, serta Perumahan Lainnya, yang atas Penyerahannya Dibebaskan dari Pengenaan Pajak Pertambahan Nilai. 
31;Bagaimana status PMK Nomor 81/PMK.010/2019 tentang Batasan Rumah Umum, Pondok Boro, Asrama Mahasiswa dan Pelajar, serta Perumahan Lainnya, yang atas Penyerahannya Dibebaskan dari Pengenaan Pajak Pertambahan Nilai apabila PMK ini mulai berlaku?;Dicabut dan dinyatakan tidak berlaku. 
32;Kapan mulai berlakunya PMK Nomor 60 Tahun 2023?;Peraturan Menteri ini mulai berlaku pada tanggal 12 Juni 2023. 
33;Apa latar belakang terbitnya PMK Nomor 60 Tahun 2023?;Untuk membantu mengatasi backlog kepemilikan rumah. Sasaran dari kebijakan rumah umum ini Masyarakat Berpenghasilan Rendah (MBR). Penyesuaian harga jual rumah umum sebesar 2,5% dari usulan harga Menteri Pekerjaan Umum dan Perumahan Rakyat tahun 2022. sehingga harga jual rumah umum berkisar antara Rp 162 juta sampai dengan Rp 234 juta (2023), Rp 166 sampai dengan Rp 240 juta (mulai 2024). 